File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage W-37,121.935,11.854,6.692,17.990,4.250,228.908,3.714,8.454,10.766,5.308,64.089,2.542,2.266,3.067,1.098,604.905,27.013,6.628,7.122,3.408,108.604,4.572,4.778,6.365,6.609,3806.740,101.235,6.247,23.952,13.058,49.944,8.934,3.228,14.395,6.128,411.890,65.702,5.406,24.779,6.466,2276.157,205.637,21.414,47.516,9.216,1850.083,289.214,9.711,12.820,7.501,3327.315,33.028,8.158,10.675,5.732,1107.423,40.030,5.442,24.272,10.355,422.779,15.976,9.839,11.738,6.505,132879.475,31098.533,12145.384,5001.089,1233.309
Omar2-Sleep stage W-38,57.346,21.377,17.730,12.119,4.303,151.638,16.783,11.371,10.020,5.659,16.032,5.784,2.314,3.456,1.875,96.064,10.933,6.691,8.631,2.533,131.739,8.768,3.013,6.980,5.125,563.663,137.532,18.483,14.284,9.850,23.058,9.859,7.430,6.684,3.738,220.718,25.664,14.724,16.114,5.053,2476.113,135.785,46.489,24.966,8.239,2276.805,90.593,16.611,25.249,5.462,4766.391,50.640,21.010,20.526,5.633,2207.831,24.542,18.819,29.772,14.002,827.719,69.698,10.096,17.453,8.145,100320.947,21023.336,21135.808,14713.972,1724.848
Omar2-Sleep stage W-39,40.865,10.383,13.300,10.011,2.615,37.110,18.507,13.456,9.050,3.034,18.431,3.682,3.533,3.656,2.466,44.745,7.280,7.883,4.998,3.056,60.652,8.330,5.497,10.579,4.360,1889.703,55.516,6.778,15.821,8.055,28.095,4.604,5.694,13.048,4.370,122.672,20.795,18.579,24.013,7.120,1142.784,34.844,13.529,27.228,8.033,619.218,34.328,42.728,25.955,9.551,889.506,21.225,18.041,19.304,3.753,450.964,9.070,24.648,9.753,5.834,249.776,18.109,21.053,19.604,10.470,138191.841,8325.502,7908.370,4213.253,2269.191
Omar2-Sleep stage W-40,121.198,31.981,7.995,9.672,4.316,136.045,7.147,8.464,9.854,4.007,9.462,3.679,1.384,3.422,2.037,25.328,4.871,3.447,8.753,3.239,28.454,4.522,6.331,8.644,4.602,5677.571,103.567,37.048,21.870,11.626,28.741,7.251,6.686,11.848,5.640,284.419,35.676,14.243,17.024,4.681,2504.001,214.205,30.286,38.271,13.423,1836.365,165.707,18.489,14.592,8.370,1313.067,178.038,40.901,23.166,5.683,443.198,46.135,12.182,28.157,11.316,1992.167,21.848,12.677,21.784,4.260,79872.079,13483.710,5094.495,6113.304,1584.959
Omar2-Sleep stage W-41,99.356,22.739,15.048,15.106,4.629,57.964,15.651,9.781,15.758,4.894,17.106,7.593,3.890,3.240,2.572,132.504,58.912,13.662,9.078,4.488,55.054,2.146,3.141,5.933,3.773,2051.727,49.196,8.158,17.726,11.958,14.418,6.282,5.865,7.042,2.518,606.522,32.387,35.870,14.806,5.953,5902.993,81.608,31.762,33.124,7.480,4286.760,170.909,45.104,15.698,3.321,3794.231,327.337,44.451,21.821,5.686,1340.035,251.701,28.777,20.296,7.012,300.533,42.566,24.630,16.364,5.137,82987.685,12268.023,3363.441,1962.863,1016.415
Omar2-Sleep stage W-42,73.472,17.472,5.157,14.096,7.270,106.434,13.629,7.362,12.713,3.422,4.967,3.752,0.630,2.552,1.314,7.091,9.424,4.102,10.167,2.519,227.603,3.151,6.313,9.104,4.303,5974.454,187.502,18.330,15.978,8.307,11.781,7.459,4.990,13.296,7.883,411.738,32.019,33.498,30.480,4.442,6562.070,77.826,52.540,41.993,9.411,3105.182,69.820,36.349,24.047,7.245,1791.719,69.263,15.140,24.112,5.973,500.890,27.978,13.240,27.929,8.378,166.130,15.426,12.950,23.395,7.708,379656.806,5807.557,5009.394,2366.770,464.175
Omar2-Sleep stage W-43,152.930,26.169,15.668,10.622,5.659,123.296,16.995,4.171,8.291,4.400,2.767,2.326,0.897,2.125,1.730,30.526,7.586,6.690,10.315,4.001,97.774,6.255,1.442,6.964,7.401,1643.736,15.876,4.036,16.359,10.236,55.923,11.183,2.132,10.152,6.146,625.044,24.907,13.822,12.424,6.516,2789.383,92.136,15.988,19.917,11.471,2222.594,87.103,12.383,11.332,4.883,818.814,39.759,26.639,15.868,7.150,415.661,56.903,20.591,25.837,7.368,736.586,26.906,18.510,12.422,8.092,55593.441,6617.061,6478.014,4238.092,1044.935
Omar2-Sleep stage W-44,69.537,5.235,7.579,15.227,5.286,82.764,4.083,9.528,14.315,4.226,11.563,0.690,0.798,2.476,2.158,46.557,3.973,3.778,7.668,4.371,20.579,6.923,2.779,7.191,6.162,1129.297,16.787,3.679,23.986,13.088,40.443,13.062,6.385,12.679,6.366,125.384,14.297,23.678,15.568,8.363,596.879,106.778,31.879,27.536,17.402,600.794,33.254,8.601,16.014,11.871,4341.132,78.324,13.851,11.308,5.993,889.298,28.444,7.660,17.030,9.618,842.130,29.398,16.603,11.159,7.154,133439.373,18958.492,9088.258,7301.675,512.668
Omar3-Sleep stage W-00,244.013,16.494,11.116,13.895,7.577,344.830,14.649,5.842,15.472,9.339,19.684,1.602,1.358,1.926,1.562,44.713,8.889,8.020,9.495,5.977,62.716,2.835,4.578,13.228,12.069,675.497,19.548,15.962,12.530,7.241,139.511,4.347,15.527,9.457,4.916,305.409,13.857,22.631,29.374,10.138,926.549,25.674,24.257,30.764,11.905,249.342,11.582,19.368,26.702,11.526,3444.466,22.100,30.190,20.943,9.481,1098.424,26.597,31.479,20.439,10.887,1667.540,208.568,29.023,18.245,8.238,874.497,14.615,27.883,24.888,7.824
Omar3-Sleep stage W-01,637.649,36.286,26.547,15.943,5.681,243.484,23.982,13.121,12.696,7.344,57.256,2.514,1.191,2.368,2.295,346.095,21.041,7.583,11.771,5.098,48.362,8.090,3.217,12.300,6.992,614.184,55.821,29.427,16.548,13.237,85.089,15.017,9.821,7.872,3.687,114.254,33.602,20.455,29.674,12.678,521.147,38.326,47.565,31.965,11.589,136.744,47.026,39.295,28.631,13.555,1768.394,136.443,98.437,40.440,14.958,5329.011,100.410,59.007,36.518,10.468,1876.824,30.051,53.024,41.209,7.253,529.845,57.634,55.048,41.833,8.161
