File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar3-Sleep stage 1-17,8452.800,26.579,32.161,39.156,18.158,8447.577,18.664,27.584,35.206,18.904,8405.947,5.460,8.705,11.711,12.362,8427.089,13.664,20.544,24.762,18.675,8433.942,12.903,9.895,21.779,22.659,8421.600,62.861,52.505,75.414,44.765,8430.011,13.045,45.357,49.908,19.078,8367.820,31.064,62.325,76.123,21.302,8983.418,48.385,62.340,77.372,34.279,8304.886,25.905,32.472,47.819,28.469,8579.509,49.978,30.109,43.691,28.304,8604.830,24.178,29.948,38.226,16.713,8428.288,38.116,33.368,40.909,27.523,8456.412,27.353,36.879,45.188,17.174
Omar3-Sleep stage 1-18,8407.120,18.959,38.852,32.293,17.453,8420.513,12.422,25.012,26.715,19.647,8404.701,6.855,7.311,12.395,12.384,8416.979,11.807,16.491,21.798,20.120,8426.097,9.443,14.907,23.121,23.052,8591.679,35.727,40.856,42.575,25.784,8420.956,18.238,38.800,35.475,20.205,8387.420,14.911,59.734,51.478,26.007,8747.058,33.198,33.795,50.350,28.432,8321.809,21.907,33.303,37.045,22.242,8455.269,20.983,41.239,38.454,25.565,8312.861,19.908,41.676,33.756,20.526,8584.947,43.703,46.802,38.350,23.501,8417.296,18.429,54.795,42.397,24.153
Omar3-Sleep stage 1-19,8401.321,21.570,33.640,41.847,19.608,8437.313,17.077,22.563,30.039,17.353,8405.041,6.737,6.114,13.798,11.899,8403.504,13.470,16.501,26.640,20.724,8402.658,11.716,8.438,26.204,25.788,8452.168,28.578,39.406,41.211,34.726,8389.941,15.811,46.645,31.457,19.355,8458.949,21.520,64.033,47.061,29.452,8766.575,63.751,42.212,49.140,34.109,8661.528,56.012,46.637,53.784,39.692,8546.586,52.930,42.470,39.064,34.715,8454.438,22.415,37.913,39.935,24.159,8687.808,42.145,46.027,47.147,41.272,8412.586,20.501,50.840,50.284,29.703
Omar3-Sleep stage 1-20,8416.736,14.952,31.097,28.875,16.193,8422.662,11.277,26.199,25.772,16.436,8394.760,3.779,8.973,14.643,13.300,8407.434,9.242,17.066,27.170,23.967,8394.406,7.914,12.394,27.635,23.759,8639.470,23.620,38.146,36.440,26.621,8432.419,18.646,45.614,37.463,18.023,8561.057,31.963,49.591,46.839,27.751,8597.091,81.741,54.079,60.611,37.303,8888.273,73.077,41.872,44.597,28.070,8440.244,37.146,23.659,42.070,28.166,8586.435,34.921,42.532,43.175,28.473,8446.484,18.941,25.770,47.353,36.584,8436.649,20.157,32.583,38.016,27.157
Omar3-Sleep stage 1-21,8396.387,21.350,29.987,30.604,16.614,8422.469,14.583,24.994,27.956,17.834,8397.653,5.681,6.672,10.647,12.427,8407.058,14.215,17.338,21.524,14.076,8445.192,11.858,13.357,29.821,23.874,8846.173,24.511,36.461,41.227,24.028,8445.184,14.825,38.227,34.948,17.447,8623.676,37.118,60.266,58.915,21.008,8355.051,123.550,60.234,81.118,37.909,9162.030,98.226,50.046,59.773,34.790,8485.741,25.984,20.477,38.022,23.683,8709.703,39.319,33.637,49.976,33.308,8405.919,23.611,26.563,35.860,22.897,8418.862,19.114,31.810,37.931,21.133
Omar3-Sleep stage 1-22,8414.355,17.100,36.850,30.972,15.923,8459.751,13.515,28.444,27.886,17.196,8407.026,5.379,8.587,13.195,11.997,8420.177,13.182,19.889,23.160,14.811,8436.676,16.237,14.513,27.796,22.474,8493.955,21.321,34.489,35.908,23.629,8401.021,15.418,38.790,30.197,17.475,8448.960,36.895,58.810,51.019,31.032,9054.960,66.330,69.776,96.921,55.242,8590.879,77.935,65.896,84.178,58.967,8535.758,30.787,25.352,32.561,16.967,8402.440,17.709,31.674,35.252,19.630,8634.169,30.489,36.387,40.399,20.797,8435.695,19.073,38.865,40.869,19.570
Omar3-Sleep stage 1-23,8426.805,15.772,34.370,40.651,18.994,8414.584,12.550,26.707,32.893,19.857,8401.506,3.917,7.584,14.830,12.062,8419.476,9.907,16.001,27.238,19.697,8398.565,10.921,13.227,25.786,21.323,8424.362,24.294,29.353,29.403,23.789,8405.041,13.014,24.590,31.997,17.403,8442.095,26.584,33.113,53.609,18.078,8911.495,44.791,35.251,42.352,16.783,8513.009,40.681,26.578,47.959,26.574,8542.673,32.199,30.365,37.852,20.396,8593.551,33.161,30.910,49.156,29.574,8646.045,53.474,43.212,44.737,29.106,8429.535,17.024,35.381,40.963,20.461
Omar3-Sleep stage 1-24,8440.270,19.990,23.204,35.484,18.545,8432.344,12.120,20.203,29.665,22.279,8406.066,4.346,5.630,11.501,11.689,8431.614,10.219,15.688,24.220,21.525,8453.096,8.604,12.977,26.719,19.273,8484.773,20.968,36.463,36.107,21.501,8436.291,17.169,53.193,38.147,18.285,8470.191,19.131,61.560,51.839,21.138,8660.567,40.387,39.702,47.700,19.001,8532.013,29.068,22.098,36.880,24.658,8424.948,19.099,19.798,45.314,24.308,8386.822,31.188,29.350,50.922,29.887,8527.069,49.787,22.838,58.867,32.998,8423.874,16.311,24.242,47.044,22.895
Omar3-Sleep stage 1-25,8418.489,16.613,33.841,38.220,20.218,8437.456,14.512,25.666,33.757,20.208,8400.483,6.601,9.645,12.207,11.524,8412.264,12.732,19.549,26.861,19.837,8421.326,10.967,14.780,29.025,22.340,8807.832,23.081,40.721,49.148,22.622,8458.831,17.864,43.514,44.256,17.973,8445.461,23.928,51.556,45.971,23.572,8595.396,53.250,51.703,47.999,32.299,8587.117,49.493,26.709,49.171,27.687,8473.060,25.244,27.482,36.820,19.976,8630.801,15.907,33.739,42.104,22.567,8445.539,33.260,28.714,43.750,23.341,8413.895,20.678,42.305,51.931,30.045
Omar3-Sleep stage 1-26,8424.639,21.774,32.948,38.444,15.149,8461.469,12.234,23.565,26.740,17.596,8417.356,3.931,6.907,12.708,11.335,8457.890,11.107,17.037,26.177,14.936,8457.977,11.409,16.602,26.739,18.010,8280.462,55.992,64.681,58.157,43.228,8422.416,20.908,62.704,41.889,15.822,8453.352,34.042,73.210,52.754,22.754,8897.377,51.908,59.343,56.095,23.162,8513.783,43.765,41.265,41.309,32.393,8484.278,36.148,33.129,40.024,22.305,8533.195,42.728,36.653,47.541,22.809,8518.097,30.566,33.334,41.774,21.618,8453.364,25.608,33.580,48.173,23.955
