File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar3-Sleep stage W-09,8419.298,17.383,20.535,20.084,15.459,8426.656,10.314,13.251,21.007,15.891,8404.369,3.275,3.527,11.157,10.659,8441.921,17.493,13.330,22.769,16.250,8423.554,12.394,8.465,24.034,17.087,8719.641,25.467,25.078,28.752,17.098,8403.004,11.077,13.448,24.456,15.493,8385.172,27.286,24.640,35.875,23.768,8695.594,39.516,31.444,51.043,37.703,8343.465,37.205,23.117,40.446,34.529,8546.219,39.804,20.316,26.214,18.870,8433.185,32.498,28.702,44.065,28.386,8622.316,36.030,28.384,32.501,26.323,8394.988,21.123,25.044,28.299,21.684
Omar3-Sleep stage W-10,8393.483,12.906,13.690,29.427,16.211,8438.983,9.278,11.825,25.818,16.479,8413.083,3.731,3.776,10.542,9.595,8476.951,7.745,11.184,21.599,15.383,8427.358,7.547,8.008,20.527,16.199,8253.002,15.335,16.731,29.687,19.583,8398.543,9.737,9.746,25.540,13.899,8431.007,13.316,13.135,35.013,17.710,8472.163,21.056,20.347,39.577,28.253,8483.638,18.343,17.042,36.380,23.721,8398.853,16.085,17.405,34.916,20.407,8460.534,28.378,21.799,38.930,27.304,8412.420,31.540,21.337,44.185,28.938,8424.708,17.466,22.497,34.870,17.384
Omar3-Sleep stage W-11,8431.819,12.252,17.808,30.165,14.178,8437.164,12.807,13.979,29.682,16.142,8402.875,6.086,6.217,10.821,10.323,8419.577,15.082,13.680,24.876,16.709,8415.056,9.890,10.914,25.754,17.467,8415.844,26.734,16.425,26.377,17.879,8405.623,12.196,14.619,25.458,17.404,8659.992,31.532,25.027,40.133,20.589,8721.397,79.314,48.558,86.201,54.519,9193.916,66.081,42.067,67.524,36.770,8440.193,25.828,23.849,33.748,21.204,8581.384,20.999,22.487,39.682,29.154,8545.561,36.346,22.227,43.953,31.048,8435.286,17.975,23.607,43.189,17.813
Omar3-Sleep stage W-12,8428.645,15.331,15.232,26.735,14.460,8452.528,16.914,10.953,27.165,16.911,8388.434,5.886,5.437,12.271,10.122,8408.078,8.857,9.342,22.644,15.752,8404.682,9.662,10.263,19.414,20.637,8637.348,34.362,26.459,43.052,35.225,8435.324,9.542,8.851,22.979,13.289,8501.468,54.423,34.492,52.468,39.808,8926.352,142.960,110.913,169.842,98.423,8663.740,138.849,95.276,141.187,97.357,8455.087,40.646,25.803,39.336,25.000,8493.782,36.592,18.365,37.807,24.766,8469.095,39.326,23.221,35.899,23.075,8421.862,26.117,20.745,35.885,20.442
Omar3-Sleep stage W-13,8416.669,19.956,16.777,34.509,17.178,8421.157,16.210,12.890,31.497,21.896,8402.581,6.069,4.976,13.704,11.145,8421.961,16.775,9.223,23.081,17.177,8432.192,9.176,10.955,24.424,18.218,8507.202,15.586,12.311,34.941,22.785,8402.380,8.815,10.801,27.614,16.497,8552.956,50.647,25.680,55.253,29.408,8795.998,111.339,83.667,119.909,75.110,8812.925,107.741,68.632,122.330,70.012,8479.023,33.831,37.735,43.573,19.574,8582.302,41.920,37.680,61.915,30.908,8564.739,39.273,43.966,55.577,25.838,8439.127,30.029,31.440,52.839,20.433
Omar3-Sleep stage W-14,8437.163,24.013,23.056,33.180,16.709,8446.700,17.032,18.960,29.645,16.472,8404.209,5.716,4.174,12.859,10.388,8434.794,18.260,14.933,26.818,13.914,8458.378,12.307,12.372,25.046,16.401,8581.053,21.354,15.441,41.645,25.325,8423.056,11.790,11.785,21.201,13.079,8561.245,35.193,24.910,45.979,21.764,8455.953,58.444,48.539,60.288,29.138,8878.459,72.449,45.659,80.637,40.181,8497.399,30.825,21.314,33.250,23.165,8492.272,38.713,30.204,55.782,34.060,8640.137,42.269,25.646,49.977,26.719,8468.086,25.918,24.333,41.320,22.183
Omar3-Sleep stage W-15,8430.991,23.516,16.015,34.307,18.050,8410.601,13.113,13.623,26.832,17.652,8397.030,6.364,5.046,13.127,9.733,8412.866,14.551,12.433,26.340,20.999,8389.870,12.041,13.278,26.421,16.238,8397.713,19.308,20.892,32.099,21.864,8411.701,12.435,10.655,25.545,15.773,8568.588,32.824,31.797,59.478,27.655,8705.566,98.901,67.484,80.483,55.850,8926.718,78.747,57.324,108.610,62.762,8549.788,25.578,27.940,38.707,21.354,8631.790,49.108,27.489,60.526,36.166,8466.925,35.794,24.212,58.587,28.715,8426.114,22.391,16.710,45.460,20.026
Omar3-Sleep stage W-16,8416.188,18.157,18.815,32.178,16.448,8420.365,13.094,14.446,27.403,17.094,8400.956,5.384,3.989,10.862,9.021,8456.170,12.813,10.605,24.463,15.521,8430.676,14.667,11.331,21.311,17.062,8621.698,33.236,24.816,41.642,27.945,8414.500,14.156,15.185,22.946,14.038,8416.251,37.076,43.824,56.167,29.672,9093.944,60.399,58.209,62.730,49.869,8390.507,82.979,45.473,96.176,53.984,8452.814,34.698,17.747,36.008,20.977,8470.722,57.886,30.489,59.108,39.481,8415.176,42.460,26.250,43.208,20.431,8412.433,16.693,23.817,34.559,17.767
Omar3-Sleep stage W-17,8420.910,14.603,14.401,29.201,15.361,8415.786,13.057,11.315,25.825,16.866,8402.953,3.546,3.059,11.830,10.629,8437.085,14.949,11.215,24.633,18.009,8429.700,8.317,8.448,22.934,17.139,8567.634,53.658,32.560,61.763,38.217,8419.616,11.101,11.721,26.527,15.182,8486.167,22.651,20.786,39.716,26.966,8918.804,84.501,59.652,91.246,53.250,8691.506,66.605,43.603,77.617,50.523,8452.342,35.591,24.083,41.548,24.533,8477.857,17.170,14.367,36.280,24.046,8620.502,42.216,20.854,38.539,22.604,8422.278,23.035,15.734,39.336,19.900
Omar3-Sleep stage W-18,8430.437,17.734,10.999,31.217,19.286,8423.729,14.173,14.582,24.467,15.759,8382.632,6.664,4.654,11.117,10.390,8373.627,14.027,10.847,20.889,14.442,8420.631,14.342,14.662,28.181,22.451,8646.049,26.705,15.982,39.986,26.479,8420.365,11.778,13.362,27.943,15.239,8388.737,16.925,26.010,41.009,22.607,8806.447,55.188,38.721,68.045,37.586,8369.952,43.705,34.596,64.791,42.423,8541.646,51.399,33.002,62.110,37.095,8617.949,21.256,17.182,39.210,25.789,8468.658,37.580,22.767,45.401,27.942,8407.239,17.407,17.804,36.207,20.369
Omar3-Sleep stage W-19,8419.071,22.701,15.544,30.715,19.172,8426.424,17.958,12.657,26.971,16.070,8403.208,7.992,4.622,9.161,10.358,8450.541,23.139,9.509,16.886,13.862,8432.074,15.122,11.999,22.011,21.085,8628.025,28.645,18.473,36.623,21.727,8399.836,10.765,10.128,20.845,14.178,8668.900,22.527,18.947,29.343,19.737,8309.785,74.458,44.258,69.016,41.828,9187.072,54.632,29.940,40.526,28.707,8585.720,51.179,36.534,67.890,40.950,8428.522,37.807,19.371,34.961,24.345,8489.812,22.617,22.733,29.913,24.830,8445.135,20.483,19.569,30.477,18.261
