File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar3-Sleep stage 1-02,35213602.365,20.073,51.568,15.550,5.886,34923385.957,10.787,28.021,12.952,6.707,35141416.451,2.080,3.951,2.880,2.412,35074266.177,11.420,23.691,8.541,4.356,35024934.424,15.683,23.696,24.397,13.723,35359898.602,123.000,144.038,75.879,15.175,35145682.093,23.456,182.676,23.837,5.128,34342431.722,337.109,689.284,144.110,29.357,37575582.908,3207.678,1334.178,998.575,313.072,33124290.145,2273.225,754.302,623.748,186.378,35301364.113,68.195,53.799,26.829,7.529,34552069.000,41.053,50.399,18.772,6.453,36326840.478,96.345,56.103,27.518,6.622,35116779.040,34.175,71.033,28.127,10.169
Omar3-Sleep stage 1-03,35230951.983,17.746,111.588,27.624,6.461,34980838.460,8.588,42.092,17.582,6.134,35096887.122,0.878,4.090,1.997,1.203,35042019.185,5.037,29.470,11.051,4.201,34920333.228,7.766,16.429,15.511,10.493,35208847.272,95.759,172.203,38.383,11.849,35199301.058,17.477,244.809,25.769,5.299,35380773.768,295.635,371.026,79.356,13.718,34434337.726,3157.637,1249.555,904.869,298.653,35904743.089,2148.127,509.521,462.457,150.830,34984606.752,34.100,29.479,22.435,4.900,35514396.799,35.810,76.947,32.671,7.297,34673729.860,142.961,37.164,31.070,8.158,35037470.394,23.032,139.284,45.398,9.608
Omar3-Sleep stage 1-04,35390210.148,17.786,39.697,24.296,5.028,35430413.489,19.701,32.139,14.830,4.431,35108774.977,2.461,3.617,3.439,1.681,35097930.995,6.904,14.884,10.216,3.244,35298704.120,6.527,7.578,11.647,9.577,36068962.551,53.168,76.059,20.761,9.691,35348307.223,14.072,166.651,25.303,6.130,35328748.514,263.565,277.181,57.710,19.228,34342219.583,2701.186,883.955,950.506,262.082,35938880.861,1741.949,631.947,436.016,148.957,35295817.869,44.967,55.361,20.972,8.048,35310170.051,99.131,77.989,42.255,14.894,34717111.196,38.206,60.399,38.390,16.326,35156567.893,25.739,73.132,36.591,7.860
Omar3-Sleep stage 1-05,35308533.867,23.726,56.647,15.335,5.827,35000390.356,15.269,38.218,12.263,7.172,35268932.773,1.156,3.272,2.760,2.504,35251227.496,5.889,15.407,6.892,4.135,35317887.670,8.766,7.490,15.463,14.549,36141977.823,38.252,99.018,28.905,6.650,35292212.055,17.206,156.061,39.730,4.936,34580912.979,173.379,361.386,81.559,15.945,37863883.893,1300.488,469.782,297.662,92.262,33344643.972,844.492,192.600,219.013,56.034,35177181.643,43.974,36.441,25.691,6.482,34831664.229,116.698,53.771,40.982,12.797,34816268.638,139.682,42.420,20.449,7.445,35212781.865,24.225,65.198,28.507,8.659
Omar3-Sleep stage 1-06,34963218.913,19.283,26.233,20.607,5.145,35136196.203,8.823,16.589,11.622,5.682,35229196.810,1.076,1.500,2.484,2.011,35328312.627,4.303,8.599,6.581,3.596,35292103.869,4.520,6.736,10.034,9.731,34512141.323,156.067,59.357,33.360,9.541,35136863.862,6.680,77.874,20.645,5.623,36383833.727,143.189,333.719,84.486,17.451,30221137.353,1175.245,335.501,290.032,89.490,39208632.727,898.131,272.743,240.672,79.959,35601248.767,36.941,25.211,19.495,5.549,35475520.759,131.365,64.164,54.419,16.493,35202841.039,35.840,11.454,19.180,6.889,35202537.030,19.033,24.928,21.884,6.397
Omar3-Sleep stage 1-07,35298856.831,13.409,25.715,30.573,5.678,35472975.306,7.219,18.237,20.327,8.091,35349171.886,0.951,1.625,1.856,1.976,35313792.032,5.964,8.856,8.510,5.122,35387095.576,4.802,8.431,16.054,10.760,32546903.353,24.805,67.545,57.892,12.312,35011208.909,18.157,100.180,39.211,5.959,34150797.734,58.420,190.678,43.312,11.648,40659920.202,81.167,209.750,45.881,14.550,31410079.518,190.753,88.427,76.413,19.681,34548659.711,64.793,45.521,27.699,11.078,35010358.614,173.860,76.518,75.902,20.905,36144867.258,83.481,70.877,43.835,9.043,35340696.664,11.721,47.388,37.103,8.298
Omar3-Sleep stage 1-08,35149505.667,11.533,45.540,18.602,5.494,35108977.121,8.972,25.807,15.506,8.316,35134406.435,2.160,3.127,3.230,2.495,34875204.155,7.986,12.686,9.220,5.062,34929235.297,8.033,6.056,15.255,9.566,35703625.404,413.051,272.938,137.578,58.574,35110933.913,6.133,174.937,23.557,4.975,36327280.053,89.510,349.895,46.114,8.748,31425550.459,1069.182,476.647,278.306,61.410,38836043.989,620.080,84.259,57.263,23.736,35664401.901,65.791,56.982,18.787,8.062,36157549.977,84.981,47.748,32.035,10.802,36210818.736,214.839,62.421,35.461,8.431,35088164.895,14.758,66.717,25.444,7.693
Omar3-Sleep stage 1-09,34929412.286,24.937,30.054,18.920,4.760,35125379.248,20.732,26.034,12.173,5.938,35188682.581,2.413,2.269,2.875,2.492,35228944.163,10.699,13.114,7.703,4.474,35063173.329,16.932,12.109,14.379,11.854,39142791.857,1224.859,474.683,346.760,123.865,35384664.908,7.281,88.735,16.757,4.664,34293854.378,52.200,142.327,40.769,6.869,36876585.245,486.574,232.490,265.723,82.007,33390394.876,218.021,174.328,79.370,24.250,35241343.653,50.023,18.517,20.705,5.790,34170924.099,44.373,40.950,38.645,11.652,34121568.606,219.746,63.127,73.742,26.279,34889402.485,13.009,32.077,29.076,7.890
Omar3-Sleep stage 1-10,35252705.152,8.395,50.803,26.271,4.836,35249884.469,11.171,23.179,17.599,8.288,35239513.775,0.511,1.888,2.992,2.437,35227211.846,2.161,13.129,12.490,5.785,35198310.072,4.812,5.478,10.215,10.234,31767999.795,61.204,129.414,25.804,11.646,34933072.150,12.151,113.382,25.800,3.490,35683906.933,58.752,147.811,39.163,5.457,32990515.346,720.999,247.229,120.843,19.712,36944106.466,366.873,63.784,39.958,11.894,35181698.016,50.015,41.506,28.799,7.184,35525586.752,28.089,57.632,30.422,5.649,36336841.878,438.157,174.049,80.224,25.300,35230460.995,14.123,72.571,35.798,5.407
Omar3-Sleep stage 1-11,35338497.476,16.221,42.084,23.758,3.656,35202710.240,10.556,30.748,21.098,5.304,35211992.409,1.885,2.519,2.990,1.966,35227500.724,5.469,17.167,12.166,2.368,35477432.318,7.847,7.848,9.910,4.928,34139819.130,201.224,162.211,76.746,20.876,35238855.331,17.034,104.010,27.439,4.292,34574416.387,22.765,147.540,50.870,4.752,38490091.919,106.107,115.953,52.554,5.508,32922521.082,39.366,52.864,28.152,5.042,34857167.951,53.028,53.215,21.737,5.143,35212811.071,81.069,87.765,58.867,13.211,33355164.062,58.101,75.542,22.124,4.768,35408465.282,7.596,85.693,32.798,6.622
