File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage W-14,34942865.695,24.034,11.813,12.271,4.033,34925025.722,10.732,6.869,11.530,4.392,35061354.037,2.914,2.596,4.296,2.252,35021035.526,10.198,6.852,8.526,3.872,34894512.952,11.066,7.339,8.246,4.283,35720681.750,53.072,21.330,20.589,9.650,34916570.875,5.741,10.303,10.314,3.607,35546017.720,47.290,25.160,16.354,8.680,32737103.767,212.332,44.660,37.146,13.801,36580144.875,199.372,47.639,22.372,10.155,34601409.406,152.104,36.598,16.631,8.962,34968982.583,152.783,26.748,15.700,7.423,35050805.980,85.305,27.474,17.860,10.834,30459828.623,8234.761,10642.469,6513.646,1712.716
Omar2-Sleep stage W-15,34692322.024,16.654,12.262,12.172,5.006,34613995.829,21.093,10.764,10.629,4.753,34961907.994,7.330,2.981,4.198,1.844,34804423.834,19.083,8.761,9.126,4.507,34681593.161,14.933,8.743,11.495,4.951,34466803.075,72.993,10.771,23.409,9.041,34679445.213,10.617,5.963,10.503,3.510,34625942.380,17.001,19.293,19.339,9.059,34157554.459,143.445,49.027,20.332,13.517,35025687.607,80.289,46.853,29.456,7.947,35877868.028,146.795,26.938,22.151,9.103,34687447.879,75.813,16.180,22.687,6.891,34016559.637,31.653,16.325,18.934,7.745,31722603.433,19167.428,4042.268,5322.519,1119.734
Omar2-Sleep stage W-16,35313295.455,22.947,14.906,18.365,3.651,35226625.242,9.461,7.425,17.193,4.034,35258433.453,2.239,1.403,3.933,2.244,35325764.871,4.596,3.932,8.854,3.717,35334469.650,8.826,7.168,8.681,6.229,35124717.901,74.854,40.467,17.263,9.492,35169928.211,8.683,14.943,16.885,4.766,35476168.865,13.648,64.394,19.615,7.015,34404236.569,125.006,76.746,56.490,16.469,35818558.305,82.714,65.557,27.735,8.805,35281114.640,100.422,53.809,41.598,9.480,35483273.066,49.751,25.382,32.478,9.409,35413672.692,44.066,24.326,30.492,9.752,39645118.688,9076.797,12655.852,3821.792,1414.617
Omar2-Sleep stage W-17,35333879.520,8.176,12.813,11.730,5.708,35379235.680,6.707,7.439,11.981,4.696,35215740.831,1.766,2.287,3.232,3.456,35121222.568,6.949,7.093,11.461,6.263,35096489.848,6.038,9.599,8.585,4.806,35854585.490,113.539,24.229,23.558,14.371,35333064.488,5.041,5.420,8.463,5.031,35511021.467,119.688,64.065,45.842,18.982,34990184.889,352.772,153.294,136.389,46.628,35690499.552,446.273,195.512,144.214,49.835,35481361.329,147.274,53.608,31.760,9.361,35745381.972,47.501,29.400,27.403,8.800,35239111.455,114.942,38.545,38.393,10.714,39915878.563,6062.700,3534.495,5206.644,892.064
Omar2-Sleep stage W-18,35347405.992,16.048,9.081,10.483,3.417,35289153.063,17.950,9.168,10.103,4.966,35168938.598,3.564,2.446,5.017,1.558,35203853.485,8.362,5.344,10.341,3.661,35336091.116,7.297,8.226,9.723,3.510,34659889.936,73.830,22.517,19.563,9.139,35322396.943,9.447,5.114,7.960,3.333,35218342.200,127.294,42.904,36.095,16.978,35594319.376,864.738,306.281,245.865,63.581,35237318.725,671.578,173.760,162.829,64.507,35696614.109,530.133,92.367,35.469,12.848,35848470.236,114.657,38.468,42.305,19.574,35786087.458,19.827,12.196,17.819,6.337,31879383.533,35341.787,24008.767,32214.280,1648.586
Omar2-Sleep stage W-19,35163639.622,18.329,11.904,11.125,4.930,35158725.276,10.713,6.432,7.105,8.779,35220660.674,2.472,1.798,3.175,2.657,35176581.088,5.416,5.133,7.910,5.316,35141647.746,6.661,3.360,10.156,5.801,35677755.733,262.707,74.152,74.826,33.946,35205959.275,8.220,5.731,9.553,4.144,35487975.757,127.410,38.604,27.913,9.270,34287285.070,849.711,226.061,119.196,37.177,35911580.491,801.666,164.230,89.632,27.966,34552121.165,809.086,174.248,170.272,49.628,34730838.132,262.319,59.852,50.245,19.243,35615543.061,50.168,36.391,20.920,6.248,36051376.963,13182.778,10226.429,8287.995,1390.698
Omar2-Sleep stage W-20,35141752.123,16.381,11.530,12.326,3.899,35294936.427,18.358,8.725,12.217,4.597,35185902.469,5.398,3.452,3.759,1.771,35208563.693,21.222,5.526,11.083,5.197,35585078.233,9.839,6.265,8.174,4.245,35009641.429,745.531,188.850,132.818,49.003,35399289.646,10.894,9.562,7.853,3.392,35560056.132,95.790,36.894,26.651,6.856,35634404.649,668.732,132.080,62.848,21.431,35720292.825,522.356,86.819,46.292,9.333,36439576.130,573.736,120.769,79.430,27.197,35725478.268,92.454,19.681,17.934,5.179,34996270.138,60.314,33.127,20.347,9.006,37377920.890,34963.265,30164.072,23441.119,5501.492
Omar2-Sleep stage W-21,35193578.683,15.729,22.415,16.856,4.186,35242035.902,15.711,15.026,13.786,5.469,35257153.951,2.850,2.313,4.029,2.314,35449905.182,5.486,5.910,11.325,4.636,35229438.849,5.604,4.627,8.578,4.470,34348077.889,37.943,19.945,22.078,10.399,35043997.897,5.681,10.064,11.384,4.957,35261733.503,98.417,88.925,63.398,13.833,34765466.764,774.199,227.101,157.395,60.708,35413647.084,644.601,284.721,211.967,53.243,35028118.186,199.540,184.913,103.332,17.830,35153323.233,110.788,61.140,65.443,15.205,35317187.785,34.287,19.331,27.045,6.784,39951064.170,50229.168,16038.654,12466.564,4117.211
Omar2-Sleep stage W-22,35111617.717,10.312,15.349,10.877,5.737,35227141.374,5.806,13.172,10.949,3.322,35181969.220,1.738,4.347,4.457,2.679,35081334.877,7.137,10.007,8.436,3.620,34863306.475,2.571,6.456,7.308,4.380,35654226.509,97.741,31.817,34.994,14.417,35152367.412,3.965,8.116,9.886,4.987,34634574.069,19.629,55.598,26.968,8.992,36536036.382,110.893,42.654,32.661,14.373,33697267.590,54.291,29.172,26.451,7.262,33978962.090,136.748,22.179,44.199,11.826,33978654.333,28.247,15.429,20.779,8.369,34479294.487,33.474,21.477,20.495,11.090,29068909.589,10523.317,5619.643,4349.765,1247.925
Omar2-Sleep stage W-23,35309694.377,28.548,16.839,21.266,5.621,35377252.913,21.365,10.967,13.576,5.623,35235850.206,4.470,2.464,3.012,2.560,35183426.686,12.835,5.409,8.529,3.736,35462670.921,16.683,13.287,11.470,5.580,35424837.599,136.320,33.778,26.541,10.686,35307447.371,22.652,11.490,11.808,3.781,34695563.587,44.189,42.393,17.524,6.249,38023952.817,79.494,52.093,35.548,11.404,33345877.597,70.924,39.228,22.531,8.819,35061586.864,131.636,51.777,39.758,10.793,35108134.587,99.582,30.978,38.208,16.594,35730238.851,65.636,40.857,25.964,7.229,40999691.410,29992.339,21194.260,10942.089,2846.267
