File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage 1-25,21.830,9.405,30.681,9.944,5.324,30.754,5.799,21.380,6.414,4.826,13.200,1.868,6.624,3.196,1.964,112.300,4.460,15.471,5.476,3.737,66.675,7.612,2.630,6.052,6.697,2366.555,103.363,64.103,10.453,7.591,12.543,9.409,96.405,8.814,4.327,152.837,19.459,271.443,23.852,4.923,496.909,17.464,77.351,19.835,4.735,581.992,11.553,30.828,14.307,6.775,9251.458,29.689,33.724,12.576,5.895,573.733,13.897,30.003,12.502,5.220,552.644,12.915,33.890,8.921,10.118,10357.653,420.152,324.322,308.709,150.591
Omar2-Sleep stage 1-26,58.436,32.657,36.428,19.559,3.701,34.731,36.073,32.978,19.215,4.105,13.671,5.627,5.684,6.451,2.183,18.992,17.684,22.502,13.570,5.533,16.475,9.468,3.930,14.633,6.444,1200.593,38.250,118.488,26.508,6.938,46.416,10.218,219.553,40.029,6.171,57.946,23.426,378.202,57.736,10.015,65.206,31.245,81.283,22.357,6.638,206.827,14.937,36.741,18.011,7.653,4029.302,115.216,49.353,22.343,7.850,604.340,26.628,61.725,16.525,5.334,1230.972,13.748,57.004,17.064,6.528,16620.984,437.697,1387.587,558.890,222.195
Omar2-Sleep stage 1-27,43.849,23.301,54.192,21.997,3.217,109.775,17.836,28.842,15.153,4.702,122.865,7.254,6.215,3.628,2.797,85.399,13.906,18.995,14.906,14.498,36.088,11.852,9.185,9.102,7.042,239.294,30.399,65.737,21.752,12.515,23.426,23.940,158.624,37.506,5.101,2787.179,44.494,534.767,69.746,6.821,18176.211,65.000,200.590,49.407,4.165,19120.896,23.787,63.430,29.906,7.327,2160.283,31.530,42.238,26.853,20.843,2528.730,26.092,43.611,22.204,7.582,873.363,24.528,34.927,21.048,7.404,6819.360,2337.917,963.295,694.966,229.720
Omar2-Sleep stage 1-28,21.733,7.463,34.665,17.362,3.145,45.149,5.866,34.599,13.572,4.525,10.861,1.487,6.918,8.483,2.974,63.384,5.646,14.127,15.366,8.550,299.377,7.402,11.938,13.539,9.528,632.761,19.360,82.991,15.657,12.063,43.897,8.708,164.126,21.457,5.900,100.447,51.401,256.204,51.743,9.205,1745.031,32.547,142.110,40.888,9.337,1361.526,29.846,84.143,33.832,11.231,7314.413,129.098,75.283,34.856,9.726,612.233,7.231,45.819,20.609,4.764,314.492,13.288,68.105,29.016,7.604,11369.511,2145.048,524.587,932.269,154.190
Omar2-Sleep stage 1-29,27.066,23.361,37.253,25.996,9.304,46.658,8.712,38.178,18.548,7.483,13.647,4.156,4.910,4.040,2.178,116.694,13.704,18.170,15.139,13.999,63.549,4.373,7.869,7.442,6.565,774.416,45.400,89.251,22.616,5.871,52.225,8.252,170.543,27.221,4.299,123.809,22.485,508.433,49.623,7.411,1019.759,37.080,210.309,43.048,9.121,781.105,14.608,54.194,29.362,14.026,7254.681,37.277,59.106,41.000,20.393,372.397,13.052,36.077,28.906,11.491,2343.617,71.108,87.039,27.546,11.856,8070.329,1055.426,240.147,472.874,93.696
Omar2-Sleep stage 1-30,28.177,12.054,42.971,24.311,3.631,17.357,6.956,34.194,18.125,4.436,7.202,0.890,3.356,4.139,2.059,67.246,2.213,13.797,13.780,5.474,24.489,3.270,11.855,7.379,2.971,1225.320,20.832,71.308,20.891,6.600,29.151,9.315,104.521,26.470,4.767,152.012,15.805,327.495,45.640,7.565,2857.882,68.175,126.268,32.417,8.244,1197.629,20.627,68.442,35.905,7.148,4127.290,239.317,75.311,36.041,10.066,501.511,21.582,44.281,33.794,6.579,2598.440,13.609,52.005,25.740,5.896,12842.927,2458.777,427.243,954.618,380.168
Omar2-Sleep stage 1-31,84.528,47.306,10.826,18.906,2.838,67.609,17.025,9.515,19.095,4.597,8.120,3.068,2.291,3.594,2.642,41.341,19.518,7.913,14.022,6.237,113.648,6.610,6.776,10.995,4.666,2144.628,33.269,50.345,15.856,6.044,31.250,6.467,89.807,18.475,6.634,208.956,22.909,245.098,40.842,6.220,2375.162,60.408,114.774,40.785,5.999,1256.728,19.793,67.501,23.490,9.768,2221.232,194.653,64.781,43.561,9.282,749.315,69.794,20.250,18.614,4.461,105.312,27.234,39.470,22.215,4.599,4830.279,1111.070,634.807,628.049,217.645
Omar2-Sleep stage 1-32,67.677,5.305,14.303,16.753,3.645,41.908,4.243,10.893,7.771,2.840,16.382,1.109,2.111,4.914,1.827,70.451,4.070,6.687,9.510,4.259,41.675,1.411,4.223,12.080,7.559,1301.188,27.509,30.372,15.115,8.181,29.863,2.139,20.198,12.096,4.193,314.674,22.001,25.605,22.735,7.083,4265.877,188.194,36.893,21.278,7.464,2661.004,140.516,36.302,12.177,4.896,955.219,144.071,102.641,31.990,7.112,2440.120,28.146,21.564,13.987,4.498,1067.901,64.526,20.994,20.568,5.962,18226.013,1070.473,482.030,727.645,241.515
Omar2-Sleep stage 1-33,38.530,5.927,28.265,12.623,8.199,29.872,3.446,22.860,8.530,5.283,8.878,2.560,4.190,5.597,6.633,85.532,2.928,14.553,9.026,6.183,46.242,2.780,6.396,6.936,6.855,1780.124,61.857,55.621,20.067,11.481,12.044,11.689,102.128,17.285,7.404,342.140,33.203,167.109,27.964,11.718,2980.964,41.708,167.939,21.032,7.278,2451.307,42.953,52.640,10.025,11.008,5055.464,117.350,33.028,15.562,8.916,359.972,14.158,29.666,12.709,9.557,345.900,20.207,36.284,17.505,5.999,8909.361,4189.376,2647.925,1089.682,293.337
Omar2-Sleep stage 1-34,17.966,18.953,19.887,17.587,3.224,258.476,25.702,17.009,16.592,5.556,137.373,16.501,7.404,8.450,3.641,87.429,16.964,8.883,9.133,7.044,27.095,9.605,5.064,12.080,5.509,832.224,58.306,17.666,19.792,5.466,45.224,5.807,10.753,13.094,5.818,326.536,21.436,72.604,35.334,4.295,7220.591,135.311,70.251,38.923,6.600,3994.858,57.176,65.542,25.963,5.843,1196.595,46.498,35.874,16.404,5.577,557.939,22.138,28.730,15.954,7.036,336.095,18.699,26.906,18.751,6.986,18455.829,1390.609,497.544,693.045,103.714
