epoch,loss,lr,val_loss
0,0.14774907353062972,1e-04,0.12409662455320358
1,0.1288919399232849,1e-04,0.10833597928285599
2,0.11215653040208248,1e-04,0.08407259732484818
3,0.09717966417870383,1e-04,0.05377780273556709
4,0.08554386842282112,1e-04,0.07692008465528488
5,0.07313275602070879,1e-04,0.03721413388848305
6,0.06469038569343251,1e-04,0.05317182466387749
7,0.06089251531105671,1e-04,0.035672370344400406
8,0.05614239784633138,1e-04,0.04684507101774216
9,0.052581551879161324,1e-04,0.0301633570343256
10,0.05023681719250872,1e-04,0.034314509481191635
11,0.0472700280658584,1e-04,0.023300400003790855
12,0.04710375222167781,1e-04,0.022790810093283653
13,0.045537389110629684,1e-04,0.022594865411520004
14,0.04419178544337147,1e-04,0.030238302424550056
15,0.04285479462265677,1e-04,0.02532060258090496
16,0.042957914271522464,1e-04,0.02046804502606392
17,0.042471842239920926,1e-04,0.03025989793241024
18,0.042390512547344494,1e-04,0.032017312943935394
19,0.04127099884265612,1e-04,0.028373584151268005
20,0.04168724160651305,1e-04,0.027698805555701256
21,0.03939002300413954,1e-04,0.0288446843624115
22,0.0383086146838777,1e-04,0.02568681538105011
23,0.037546044680675975,1e-04,0.013154677115380764
24,0.037885857452821005,1e-04,0.031046228483319283
25,0.037878726445852176,1e-04,0.027978990226984024
26,0.036405555415997944,1e-04,0.01752517558634281
27,0.037054463811371056,1e-04,0.014983258210122585
28,0.03487623569459481,1e-04,0.026685958728194237
29,0.03556530655261021,1e-04,0.017271945253014565
30,0.035059920464547985,1e-04,0.01613796502351761
31,0.034815384230811604,1e-04,0.020415598526597023
32,0.03466758509147554,1e-04,0.03316459059715271
33,0.03422532310697319,1e-04,0.024512823671102524
